"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
2930	-128.599366	11.274169	-25.077765	-0.966111	-0.220290	-0.134540	-0.117310	-0.089571	0.989048	-0.229928	0.971313	0.060693
2931	-128.696007	11.252247	-25.091182	-0.966693	-0.218170	-0.133818	-0.117270	-0.087169	0.989267	-0.227493	0.972010	0.058681
2932	-128.792705	11.230537	-25.104527	-0.967265	-0.216061	-0.133103	-0.117220	-0.084792	0.989480	-0.225074	0.972691	0.056690
2933	-128.889460	11.209036	-25.117802	-0.967828	-0.213963	-0.132395	-0.117159	-0.082443	0.989685	-0.222671	0.973356	0.054723
2934	-128.986271	11.187746	-25.131005	-0.968383	-0.211877	-0.131694	-0.117088	-0.080120	0.989884	-0.220285	0.974007	0.052778
2935	-129.083137	11.166664	-25.144139	-0.968929	-0.209801	-0.130998	-0.117006	-0.077824	0.990077	-0.217914	0.974642	0.050858
2936	-129.180057	11.145788	-25.157203	-0.969468	-0.207731	-0.130308	-0.116913	-0.075556	0.990264	-0.215554	0.975264	0.048963
2937	-129.277031	11.125120	-25.170199	-0.969999	-0.205670	-0.129623	-0.116810	-0.073317	0.990444	-0.213208	0.975871	0.047093
2938	-129.374058	11.104657	-25.183127	-0.970522	-0.203620	-0.128944	-0.116696	-0.071105	0.990619	-0.210878	0.976465	0.045247
2939	-129.471136	11.084397	-25.195987	-0.971036	-0.201583	-0.128273	-0.116574	-0.068922	0.990788	-0.208567	0.977043	0.043427
2940	-129.568265	11.064341	-25.208780	-0.971542	-0.199558	-0.127608	-0.116443	-0.066767	0.990951	-0.206272	0.977609	0.041630
2941	-129.665444	11.044487	-25.221508	-0.972039	-0.197546	-0.126950	-0.116304	-0.064641	0.991108	-0.203995	0.978160	0.039858
2942	-129.762673	11.024834	-25.234169	-0.972528	-0.195546	-0.126298	-0.116155	-0.062543	0.991260	-0.201736	0.978698	0.038112
2943	-129.859951	11.005381	-25.246766	-0.973010	-0.193553	-0.125652	-0.115997	-0.060477	0.991407	-0.199488	0.979224	0.036393
2944	-129.957276	10.986127	-25.259298	-0.973487	-0.191563	-0.125008	-0.115828	-0.058439	0.991549	-0.197249	0.979739	0.034701
2945	-130.054649	10.967071	-25.271766	-0.973956	-0.189583	-0.124370	-0.115650	-0.056432	0.991686	-0.195025	0.980242	0.033037
2946	-130.152067	10.948212	-25.284171	-0.974417	-0.187617	-0.123740	-0.115464	-0.054456	0.991818	-0.192820	0.980732	0.031399
2947	-130.249532	10.929549	-25.296513	-0.974870	-0.185663	-0.123115	-0.115271	-0.052509	0.991945	-0.190632	0.981209	0.029788
2948	-130.347042	10.911080	-25.308793	-0.975316	-0.183719	-0.122496	-0.115070	-0.050593	0.992068	-0.188459	0.981676	0.028204
2949	-130.444595	10.892806	-25.321012	-0.975754	-0.181789	-0.121885	-0.114863	-0.048708	0.992187	-0.186306	0.982130	0.026646
2950	-130.542193	10.874725	-25.333169	-0.976187	-0.179862	-0.121279	-0.114648	-0.046855	0.992301	-0.184159	0.982575	0.025118
2951	-130.639833	10.856835	-25.345266	-0.976617	-0.177920	-0.120678	-0.114425	-0.045033	0.992411	-0.182004	0.983014	0.023622
2952	-130.737516	10.839138	-25.357303	-0.977044	-0.175971	-0.120082	-0.114195	-0.043245	0.992517	-0.179847	0.983445	0.022157
2953	-130.835241	10.821638	-25.369281	-0.977468	-0.174006	-0.119493	-0.113960	-0.041489	0.992619	-0.177680	0.983870	0.020724
2954	-130.933009	10.804333	-25.381200	-0.977889	-0.172028	-0.118914	-0.113722	-0.039766	0.992717	-0.175503	0.984289	0.019323
2955	-131.030818	10.787228	-25.393062	-0.978307	-0.170032	-0.118342	-0.113479	-0.038074	0.992811	-0.173315	0.984703	0.017953
2956	-131.128670	10.770324	-25.404868	-0.978722	-0.168021	-0.117778	-0.113232	-0.036417	0.992901	-0.171117	0.985111	0.016617
2957	-131.226562	10.753621	-25.416616	-0.979135	-0.165992	-0.117221	-0.112981	-0.034793	0.992988	-0.168907	0.985513	0.015313
2958	-131.324496	10.737123	-25.428310	-0.979546	-0.163943	-0.116670	-0.112724	-0.033204	0.993071	-0.166681	0.985911	0.014044
2959	-131.422471	10.720831	-25.439949	-0.979956	-0.161868	-0.116124	-0.112460	-0.031647	0.993152	-0.164435	0.986305	0.012809
2960	-131.520487	10.704746	-25.451534	-0.980363	-0.159775	-0.115584	-0.112191	-0.030126	0.993230	-0.162176	0.986694	0.011609
2961	-131.618543	10.688872	-25.463065	-0.980767	-0.157671	-0.115052	-0.111919	-0.028639	0.993305	-0.159910	0.987076	0.010442
2962	-131.716640	10.673208	-25.474543	-0.981166	-0.155552	-0.114527	-0.111642	-0.027187	0.993377	-0.157635	0.987454	0.009308
2963	-131.814776	10.657759	-25.485969	-0.981563	-0.153417	-0.114008	-0.111361	-0.025769	0.993446	-0.155349	0.987826	0.008209
2964	-131.912952	10.642523	-25.497344	-0.981956	-0.151266	-0.113495	-0.111075	-0.024386	0.993513	-0.153053	0.988192	0.007144
2965	-132.011167	10.627503	-25.508667	-0.982346	-0.149099	-0.112989	-0.110784	-0.023039	0.993577	-0.150745	0.988554	0.006115
2966	-132.109421	10.612701	-25.519940	-0.982733	-0.146911	-0.112486	-0.110486	-0.021728	0.993640	-0.148420	0.988911	0.005121
2967	-132.207713	10.598118	-25.531163	-0.983117	-0.144703	-0.111989	-0.110184	-0.020452	0.993701	-0.146082	0.989264	0.004163
2968	-132.306044	10.583758	-25.542337	-0.983497	-0.142483	-0.111497	-0.109877	-0.019213	0.993759	-0.143736	0.989611	0.003240
2969	-132.404412	10.569619	-25.553462	-0.983872	-0.140254	-0.111013	-0.109568	-0.018010	0.993816	-0.141386	0.989952	0.002352
2970	-132.502818	10.555703	-25.564538	-0.984244	-0.138010	-0.110534	-0.109253	-0.016843	0.993871	-0.139026	0.990288	0.001500
2971	-132.601260	10.542015	-25.575567	-0.984611	-0.135749	-0.110060	-0.108934	-0.015713	0.993925	-0.136653	0.990619	0.000684
2972	-132.699740	10.528552	-25.586549	-0.984975	-0.133471	-0.109590	-0.108610	-0.014620	0.993977	-0.134269	0.990945	-0.000095
2973	-132.798255	10.515318	-25.597484	-0.985335	-0.131177	-0.109125	-0.108282	-0.013565	0.994028	-0.131874	0.991266	-0.000838
2974	-132.896806	10.502314	-25.608373	-0.985690	-0.128867	-0.108665	-0.107949	-0.012547	0.994077	-0.129467	0.991582	-0.001543
2975	-132.995393	10.489542	-25.619216	-0.986041	-0.126543	-0.108209	-0.107612	-0.011567	0.994126	-0.127052	0.991894	-0.002212
2976	-133.094014	10.477003	-25.630014	-0.986387	-0.124213	-0.107760	-0.107273	-0.010625	0.994173	-0.124634	0.992199	-0.002844
2977	-133.192670	10.464697	-25.640767	-0.986727	-0.121872	-0.107316	-0.106930	-0.009721	0.994219	-0.122211	0.992498	-0.003440
2978	-133.291359	10.452627	-25.651476	-0.987063	-0.119514	-0.106876	-0.106584	-0.008856	0.994264	-0.119775	0.992793	-0.003997
2979	-133.390082	10.440793	-25.662142	-0.987396	-0.117134	-0.106439	-0.106232	-0.008029	0.994309	-0.117322	0.993084	-0.004516
2980	-133.488838	10.429198	-25.672763	-0.987724	-0.114739	-0.106006	-0.105876	-0.007241	0.994353	-0.114859	0.993369	-0.004996
2981	-133.587626	10.417843	-25.683342	-0.988045	-0.112337	-0.105578	-0.105519	-0.006493	0.994396	-0.112393	0.993649	-0.005438
2982	-133.686447	10.406727	-25.693878	-0.988362	-0.109925	-0.105155	-0.105159	-0.005784	0.994439	-0.109922	0.993923	-0.005843
2983	-133.785298	10.395855	-25.704372	-0.988673	-0.107500	-0.104737	-0.104796	-0.005115	0.994481	-0.107443	0.994192	-0.006209
2984	-133.884181	10.385226	-25.714825	-0.988978	-0.105064	-0.104322	-0.104430	-0.004485	0.994522	-0.104957	0.994455	-0.006536
2985	-133.983094	10.374840	-25.725236	-0.989279	-0.102616	-0.103912	-0.104063	-0.003896	0.994563	-0.102462	0.994713	-0.006824
2986	-134.082036	10.364701	-25.735606	-0.989574	-0.100149	-0.103504	-0.103691	-0.003347	0.994604	-0.099955	0.994967	-0.007073
2987	-134.181008	10.354809	-25.745936	-0.989864	-0.097667	-0.103100	-0.103318	-0.002839	0.994644	-0.097437	0.995215	-0.007281
2988	-134.280009	10.345165	-25.756225	-0.990148	-0.095177	-0.102700	-0.102943	-0.002371	0.994684	-0.094915	0.995458	-0.007450
2989	-134.379037	10.335771	-25.766475	-0.990426	-0.092684	-0.102306	-0.102568	-0.001945	0.994724	-0.092394	0.995694	-0.007580
2990	-134.478094	10.326626	-25.776685	-0.990697	-0.090181	-0.101915	-0.102191	-0.001560	0.994764	-0.089868	0.995924	-0.007670
2991	-134.577176	10.317734	-25.786857	-0.990963	-0.087658	-0.101526	-0.101812	-0.001217	0.994803	-0.087326	0.996150	-0.007719
2992	-134.676286	10.309094	-25.796990	-0.991224	-0.085120	-0.101141	-0.101431	-0.000915	0.994842	-0.084773	0.996370	-0.007726
2993	-134.775421	10.300708	-25.807084	-0.991478	-0.082572	-0.100759	-0.101050	-0.000656	0.994881	-0.082215	0.996585	-0.007693
2994	-134.874581	10.292577	-25.817141	-0.991726	-0.080018	-0.100381	-0.100669	-0.000439	0.994920	-0.079655	0.996793	-0.007620
