"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1201	-161.239150	26.336095	2.632616	0.583356	0.812216	0.000334	-0.052111	0.037838	-0.997924	-0.810543	0.582128	0.064398
1202	-160.955653	26.747912	2.633678	0.550063	0.835114	0.003965	-0.054085	0.040361	-0.997720	-0.833370	0.548594	0.067368
1203	-160.689470	27.171114	2.636607	0.514026	0.857739	0.007809	-0.056287	0.042813	-0.997496	-0.855926	0.512299	0.070287
1204	-160.442056	27.605533	2.641516	0.475145	0.879828	0.011867	-0.058721	0.045162	-0.997252	-0.877946	0.473142	0.073123
1205	-160.214583	28.050689	2.648485	0.434400	0.900577	0.016035	-0.061393	0.047365	-0.996989	-0.898625	0.432108	0.075865
1206	-160.007899	28.505830	2.657561	0.391995	0.919744	0.020295	-0.064296	0.049396	-0.996708	-0.917718	0.389399	0.078499
1207	-159.822833	28.970133	2.668789	0.347931	0.937196	0.024643	-0.067419	0.051229	-0.996409	-0.935093	0.345020	0.081009
1208	-159.660206	29.442704	2.682213	0.302228	0.952792	0.029078	-0.070749	0.052842	-0.996094	-0.950606	0.298990	0.083379
1209	-159.520844	29.922582	2.697876	0.254854	0.966396	0.033604	-0.074270	0.054211	-0.995764	-0.964123	0.251278	0.085590
1210	-159.405592	30.408731	2.715825	0.205766	0.977854	0.038224	-0.077963	0.055316	-0.995420	-0.975491	0.201844	0.087618
1211	-159.315328	30.900041	2.736109	0.154863	0.987002	0.042946	-0.081809	0.056133	-0.995066	-0.984543	0.150586	0.089439
1212	-159.250992	31.395306	2.758781	0.102004	0.993636	0.047784	-0.085785	0.056641	-0.994702	-0.991078	0.097365	0.091017
1213	-159.213608	31.893210	2.783903	0.046982	0.997502	0.052753	-0.089867	0.056818	-0.994332	-0.994845	0.041975	0.092312
1214	-159.204323	32.392290	2.811547	-0.010483	0.998269	0.057877	-0.094025	0.056639	-0.993957	-0.995515	-0.015862	0.093268
1215	-159.224443	32.890892	2.841794	-0.070761	0.995490	0.063180	-0.098226	0.056077	-0.993583	-0.992645	-0.076513	0.093815
1216	-159.275486	33.387102	2.874744	-0.134327	0.988553	0.068696	-0.102433	0.055101	-0.993213	-0.985629	-0.140452	0.093859
1217	-159.359229	33.878642	2.910508	-0.201746	0.976604	0.074455	-0.106596	0.053673	-0.992853	-0.973620	-0.208240	0.093274
1218	-159.477767	34.362725	2.949218	-0.273731	0.958432	0.080491	-0.110656	0.051749	-0.992511	-0.955420	-0.280588	0.091890
1219	-159.633559	34.835847	2.991017	-0.351108	0.932300	0.086831	-0.114528	0.049278	-0.992197	-0.929304	-0.358313	0.089473
1220	-159.829248	35.293573	3.036047	-0.432614	0.896729	0.093395	-0.118156	0.046306	-0.991915	-0.893803	-0.440152	0.085922
1221	-160.066163	35.731007	3.084391	-0.515417	0.851078	0.100061	-0.121534	0.042987	-0.991656	-0.848277	-0.523277	0.081278
1222	-160.344360	36.142991	3.136065	-0.597334	0.794864	0.106694	-0.124655	0.039401	-0.991418	-0.792246	-0.605507	0.075548
1223	-160.662865	36.524188	3.191020	-0.676215	0.727961	0.113169	-0.127536	0.035621	-0.991194	-0.725581	-0.684693	0.068753
1224	-161.019612	36.869319	3.249147	-0.749874	0.650724	0.119364	-0.130218	0.031718	-0.990978	-0.648639	-0.758652	0.060952
1225	-161.411465	37.173400	3.310279	-0.816262	0.563956	0.125178	-0.132770	0.027744	-0.990758	-0.562217	-0.825339	0.052230
1226	-161.834331	37.431935	3.374205	-0.873617	0.468779	0.130536	-0.135272	0.023726	-0.990524	-0.467434	-0.882997	0.042685
1227	-162.283318	37.641045	3.440683	-0.920516	0.366501	0.135379	-0.137810	0.019659	-0.990264	-0.365594	-0.930210	0.032411
1228	-162.752911	37.797522	3.509444	-0.955864	0.258489	0.139668	-0.140458	0.015504	-0.989965	-0.258060	-0.965890	0.021487
1229	-163.237114	37.898845	3.580201	-0.978826	0.146112	0.143358	-0.143269	0.011193	-0.989621	-0.146200	-0.989205	0.009977
1230	-163.729565	37.943173	3.652644	-0.988740	0.031079	0.146384	-0.146247	0.006633	-0.989226	-0.031715	-0.999495	-0.002013
1231	-164.223626	37.929549	3.726373	-0.985280	-0.085008	0.148314	-0.149000	0.001749	-0.988836	0.083800	-0.996379	-0.014389
1232	-164.712665	37.858527	3.800674	-0.968776	-0.198428	0.148657	-0.150991	-0.003402	-0.988529	0.196657	-0.980110	-0.026665
1233	-165.190330	37.731729	3.874754	-0.939934	-0.307871	0.147443	-0.152184	-0.008694	-0.988314	0.305555	-0.951388	-0.038681
1234	-165.650663	37.551489	3.947854	-0.899621	-0.411983	0.144747	-0.152582	-0.014008	-0.988192	0.409146	-0.911084	-0.050259
1235	-166.088179	37.320785	4.019252	-0.848880	-0.509527	0.140659	-0.152199	-0.019224	-0.988163	0.506199	-0.860240	-0.061230
1236	-166.497968	37.043186	4.088283	-0.788958	-0.599367	0.135295	-0.151062	-0.024226	-0.988227	0.595588	-0.800108	-0.071429
1237	-166.875795	36.722800	4.154341	-0.721331	-0.680509	0.128798	-0.149216	-0.028901	-0.988382	0.676325	-0.732170	-0.080695
1238	-167.218222	36.364181	4.216903	-0.647703	-0.752167	0.121345	-0.146721	-0.033148	-0.988622	0.747632	-0.658138	-0.088888
1239	-167.522706	35.972206	4.275541	-0.569925	-0.813870	0.113140	-0.143654	-0.036882	-0.988941	0.809042	-0.579875	-0.095896
1240	-167.787652	35.551903	4.329933	-0.489927	-0.865489	0.104407	-0.140106	-0.040036	-0.989327	0.860431	-0.499326	-0.101645
1241	-168.012400	35.108256	4.379872	-0.409337	-0.907385	0.095374	-0.136191	-0.042595	-0.989766	0.902162	-0.418137	-0.106142
1242	-168.197366	34.646120	4.425347	-0.331240	-0.939555	0.086702	-0.132098	-0.044807	-0.990223	0.934254	-0.339455	-0.109271
1243	-168.343937	34.170007	4.466628	-0.255978	-0.963481	0.078615	-0.127934	-0.046845	-0.990676	0.958180	-0.263649	-0.111270
